Country,Total
Algeria, 73
Argentina, 9262
Armenia (Republic), 439
Australia, 102462
Austria, 27488
Azerbaijan, 3
Bangladesh, 2493
Belarus, 15
Belgium, 22701
Bolivia, 4
Bosnia and Herzegovina, 2929
Brazil, 63212
Bulgaria, 7019
Burma, 2
Canada, 63005
Chile, 8049
China, 152099
China (Republic : 1949- ), 10565
Colombia, 1787
Costa Rica, 594
Croatia, 9992
Cuba, 579
Cyprus, 1551
Czech Republic, 36425
Denmark, 79439
Dominican Republic, 44
Ecuador, 49
Egypt, 7301
El Salvador, 15
England, 1941549
Ethiopia, 1445
Finland, 8988
France, 201131
Georgia (Republic), 1826
Germany, 574723
Ghana, 311
Greece, 35006
Guatemala, 14
Haiti, 1
Honduras, 13
Hungary, 15998
Iceland, 331
India, 73037
Indonesia, 1025
Iran, 5677
Iraq, 25
Ireland, 126461
Israel, 10020
Italy, 158722
Jamaica, 1601
Japan, 274019
Jordan, 4
Kazakhstan, 5
Kenya, 3819
Korea (South), 22421
Kuwait, 196
Kyrgyzstan, 369
Latvia, 16
Lebanon, 1591
Libya, 82
Lithuania, 166
Luxembourg, 191
Madagascar, 149
Malawi, 285
Malaysia, 3416
Mali, 254
Malta, 8
Mexico, 15789
Moldova, 1
Morocco, 408
Nepal, 2952
Netherlands, 513467
New Zealand, 31453
Nicaragua, 2
Nigeria, 5535
North Macedonia, 557
Northern Ireland, 770
Norway, 16656
Oman, 237
Pakistan, 12413
Panama, 311
Papua New Guinea, 547
Paraguay, 1
Peru, 1369
Philippines, 366
Poland, 86583
Portugal, 5560
Puerto Rico, 1887
Romania, 14687
Russia (Federation), 168058
Saudi Arabia, 7422
Scotland, 29416
Senegal, 1897
Serbia, 9177
Singapore, 19454
Slovakia, 6059
Slovenia, 944
South Africa, 13822
Spain, 101086
Sri Lanka, 1078
Sudan, 65
Sweden, 37226
Switzerland, 241097
Tanzania, 367
Thailand, 16128
Trinidad and Tobago, 1
Tunisia, 4024
Turkey, 21546
Uganda, 6299
Ukraine, 24857
United Arab Emirates, 5491
United States, 3745925
Uruguay, 503
Uzbekistan, 4
Venezuela, 1971
Vietnam, 1
Wales, 21
Zambia, 173
Zimbabwe, 1476
